LocalTimestamp,T1_y
1681158161,37.431
1681158162,37.293
1681158162,37.268
1681158162,37.329
1681158162,37.213
1681158162,37.163
1681158162,37.248
1681158162,37.249
1681158162,37.25
1681158163,38.321
1681158163,37.245
1681158163,37.283
1681158163,37.264
1681158163,37.292
1681158163,37.268
1681158163,36.329
1681158164,36.99
1681158164,36.775
1681158164,37.261
1681158164,37.29
1681158164,37.303
1681158164,37.273
1681158164,37.295
1681158164,37.27
1681158165,37.365
1681158165,37.335
1681158165,37.251
1681158165,37.286
1681158165,37.301
1681158165,37.308
1681158165,37.346
1681158166,37.291
1681158166,37.303
1681158166,37.202
1681158166,37.3
1681158166,37.414
1681158166,37.356
1681158166,37.331
1681158166,37.356
1681158167,37.154
1681158167,37.209
1681158167,37.268
1681158167,37.258
1681158167,37.253
1681158167,37.287
1681158167,37.266
1681158168,37.328
1681158168,37.319
1681158168,37.28
1681158168,37.227
1681158168,37.24
1681158168,37.281
1681158168,37.334
1681158168,37.322
1681158169,37.317
1681158169,37.35
1681158169,37.329
1681158169,37.39
1681158169,37.346
1681158169,37.292
1681158169,37.303
1681158170,37.309
1681158170,37.24
1681158170,37.387
1681158170,37.38
1681158170,37.306
1681158170,37.345
1681158170,37.291
1681158170,37.303
1681158171,37.309
1681158171,37.311
1681158171,37.276
1681158171,37.297
1681158171,37.341
1681158171,37.325
1681158171,37.282
1681158172,37.37
1681158172,37.338
1681158172,37.323
1681158172,37.353
1681158172,37.33
1681158172,37.285
1681158172,37.3
1681158172,37.307
1681158173,37.346
1681158173,37.362
1681158173,37.334
1681158173,37.322
1681158173,37.317
1681158173,37.314
1681158173,37.384
1681158174,37.344
1681158174,37.29
1681158174,37.409
1681158174,37.39
1681158174,37.381
1681158174,37.449
1681158174,37.407
1681158174,37.424
1681158175,37.396
1681158175,37.313
1681158175,37.348
1681158175,37.363
1681158175,37.335
1681158175,37.287
1681158175,37.372
1681158176,37.374
1681158176,37.445
1681158176,37.476
1681158176,37.454
1681158176,37.338
1681158176,37.324
1681158176,37.388
1681158176,37.381
1681158177,37.413
1681158177,37.462
1681158177,37.413
1681158177,37.427
1681158177,37.433
1681158177,37.471
1681158177,37.452
1681158178,37.444
1681158178,37.405
1681158178,37.352
1681158178,37.33
1681158178,37.32
1681158178,37.351
1681158178,37.329
1681158178,37.32
1681158179,37.316
1681158179,37.314
1681158179,37.349
1681158179,37.328
1681158179,37.39
